node_title,nodetag_value
Ciência e tecnologia informáticas. Computação. Processamento de dados,004
Subdivisões auxiliares especiais para computação,004.01/.08
Documentação,004.01
Métodos de resolução dos problemas,004.02
Tipos e características dos sistemas,004.03
Orientação do processamento,004.04
Qualidade dos sistemas e do software,004.05
Características da memória,004.07
"Dispositivos de entrada (input), saída (output) e armazenamento",004.08
Arquitectura dos computadores,004.2
Representação dos dados,004.22
Arquitectura de conjunto de instruções,004.23
Sistemas de memória,004.25
Arquitecturas avançadas. Outras arquitecturas que a de Von Neumann,004.27
Equipamento informático. Hardware,004.3
Subdivisões auxiliares especiais para hardware,004.3`1/`2
Produção de computadores,004.3`1
Instalações de computadores,004.3`2
Unidades de processamento. Circuitos de processamento,004.31
Circuitos do computador,004.32
Unidades da memória. Unidades de armazenamento,004.33
Periféricos. Unidades de entrada e saída (input-output),004.35
Computador. Tipos de computador,004.38
Programas de computador (software),004.4
Subdivisões auxiliares especiais para software,004.4`2/`6
Ferramentas para desenvolvimento de software,004.4`2
Tradução de linguagem de programação,004.4`4
Ambiente do tempo de execução,004.4`6
Engenharia de software,004.41
Programação de computadores. Programas de computador,004.42
Linguagens de computador,004.43
Programas de sistemas,004.45
Infecções de computador,004.49
Interacção homem-computador. Interface homem-máquina. Interface do utilizador. Ambiente do utilizador,004.5
Interface de exibição,004.51
Interface de som,004.52
Hipermédia. Hipertexto,004.55
Ajuda ao utilizador,004.58
Dados,004.6
Tratamento de dados,004.62
Ficheiros,004.63
Bases de dados e suas estruturas,004.65
Sistemas para dados numéricos,004.67
Comunicação de computadores. Redes de computadores,004.7
Equipamento para comunicação entre computadores.,004.71
Arquitectura de redes,004.72
Redes de acordo com a área coberta,004.73
Interconexão de redes,004.738
Sistemas de processamento distribuído,004.75
Aplicações e serviços gerais de rede,004.77
Sistemas de computadores em linha para fins específicos,004.78
Inteligência artificial,004.8
Técnicas baseadas em computadores e orientadas para aplicações,004.9
Processamento e produção do documento,004.91
Infografia. Computação gráfica,004.92
Processamento de padrões de informação,004.93
Simulação,004.94
