PDF,Palavra,Frequência
PDF_1,dívida,94
PDF_1,ativa,85
PDF_1,tributária,43
PDF_1,administração,22
PDF_1,cape,20
PDF_1,análise,20
PDF_1,natureza,19
PDF_1,pública,19
PDF_1,cobrança,19
PDF_1,revista,19
PDF_1,inscrição,18
PDF_1,gráfico,17
PDF_1,elaboração,16
PDF_1,evento,15
PDF_1,completo,15
PDF_1,dezembro,15
PDF_1,científica,15
PDF_1,tema,15
PDF_1,ano,14
PDF_1,indireta,14
PDF_1,fonte,14
PDF_1,produção,13
PDF_1,créditos,13
PDF_1,fazenda,13
PDF_1,lei,13
PDF_1,própria,13
PDF_1,resultados,12
PDF_1,busca,12
PDF_1,união,12
PDF_1,público,11
PDF_1,santos,11
PDF_1,mapeamento,10
PDF_1,federal,10
PDF_1,serviços,9
PDF_1,base,9
PDF_1,publicações,9
PDF_1,forma,9
PDF_1,brasil,8
PDF_1,sistemático,8
PDF_1,públicas,8
PDF_1,dívidas,8
PDF_1,estado,8
PDF_1,dado,8
PDF_1,abordada,8
PDF_1,debt,8
PDF_1,municipal,8
PDF_1,dessa,8
PDF_1,direito,8
PDF_1,municípios,8
PDF_1,art,8
PDF_2,alimentar,81
PDF_2,insegurança,67
PDF_2,comercial,65
PDF_2,países,51
PDF_2,𝐿𝑖𝑏,51
PDF_2,food,47
PDF_2,liberdade,43
PDF_2,𝑐𝑜𝑚,41
PDF_2,trade,24
PDF_2,acesso,23
PDF_2,security,23
PDF_2,segurança,22
PDF_2,modelos,22
PDF_2,economic,22
PDF_2,renda,20
PDF_2,abertura,20
PDF_2,𝐹𝐼𝑠,20
PDF_2,média,19
PDF_2,máx,19
PDF_2,mín,19
PDF_2,evento,18
PDF_2,completo,18
PDF_2,dezembro,18
PDF_2,proxy,18
PDF_2,fao,17
PDF_2,𝐹𝑇𝐸𝐹𝑊,17
PDF_2,dif,16
PDF_2,diferentes,15
PDF_2,variáveis,15
PDF_2,alimentos,14
PDF_2,analysis,14
PDF_2,mundial,13
PDF_2,regressões,13
PDF_2,casos,13
